video_path,relative_path,label,label_name,manipulation_type,identity_group,frame_count,width,height,file_size_mb,split
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\013.mp4,original/013.mp4,0,REAL,original,original_013,332,640,480,0.59,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\016.mp4,original/016.mp4,0,REAL,original,original_016,678,640,480,1.48,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\018.mp4,original/018.mp4,0,REAL,original,original_018,432,640,480,0.4,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\019.mp4,original/019.mp4,0,REAL,original,original_019,1385,640,480,2.36,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\020.mp4,original/020.mp4,0,REAL,original,original_020,390,1280,720,1.71,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\021.mp4,original/021.mp4,0,REAL,original,original_021,431,654,480,0.49,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\022.mp4,original/022.mp4,0,REAL,original,original_022,325,1280,720,1.17,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\026.mp4,original/026.mp4,0,REAL,original,original_026,322,640,480,0.5,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\028.mp4,original/028.mp4,0,REAL,original,original_028,434,848,480,0.82,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\029.mp4,original/029.mp4,0,REAL,original,original_029,416,586,480,0.48,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\030.mp4,original/030.mp4,0,REAL,original,original_030,297,1920,1080,3.44,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\034.mp4,original/034.mp4,0,REAL,original,original_034,407,960,720,1.17,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\035.mp4,original/035.mp4,0,REAL,original,original_035,423,640,480,0.56,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\036.mp4,original/036.mp4,0,REAL,original,original_036,337,640,480,0.92,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\038.mp4,original/038.mp4,0,REAL,original,original_038,305,854,480,0.54,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\039.mp4,original/039.mp4,0,REAL,original,original_039,609,654,480,1.04,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\040.mp4,original/040.mp4,0,REAL,original,original_040,548,1280,720,2.79,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\041.mp4,original/041.mp4,0,REAL,original,original_041,349,656,480,0.66,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\042.mp4,original/042.mp4,0,REAL,original,original_042,338,640,480,1.12,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\043.mp4,original/043.mp4,0,REAL,original,original_043,495,1280,720,1.54,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\045.mp4,original/045.mp4,0,REAL,original,original_045,350,1920,1080,4.54,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\046.mp4,original/046.mp4,0,REAL,original,original_046,504,1280,720,2.17,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\047.mp4,original/047.mp4,0,REAL,original,original_047,319,854,480,0.5,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\049.mp4,original/049.mp4,0,REAL,original,original_049,360,640,480,0.44,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\051.mp4,original/051.mp4,0,REAL,original,original_051,717,1280,720,2.57,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\053.mp4,original/053.mp4,0,REAL,original,original_053,417,656,480,0.61,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\054.mp4,original/054.mp4,0,REAL,original,original_054,368,640,480,0.71,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\055.mp4,original/055.mp4,0,REAL,original,original_055,394,640,480,0.57,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\056.mp4,original/056.mp4,0,REAL,original,original_056,373,1280,720,1.08,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\057.mp4,original/057.mp4,0,REAL,original,original_057,431,656,480,1.26,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\059.mp4,original/059.mp4,0,REAL,original,original_059,721,640,480,1.49,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\060.mp4,original/060.mp4,0,REAL,original,original_060,844,600,480,4.07,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\061.mp4,original/061.mp4,0,REAL,original,original_061,337,654,480,0.69,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\062.mp4,original/062.mp4,0,REAL,original,original_062,423,640,480,0.65,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\067.mp4,original/067.mp4,0,REAL,original,original_067,538,1280,720,2.11,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\068.mp4,original/068.mp4,0,REAL,original,original_068,401,640,480,0.73,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\071.mp4,original/071.mp4,0,REAL,original,original_071,453,654,480,1.33,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\072.mp4,original/072.mp4,0,REAL,original,original_072,311,656,480,0.84,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\073.mp4,original/073.mp4,0,REAL,original,original_073,703,1280,720,2.72,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\074.mp4,original/074.mp4,0,REAL,original,original_074,345,1920,1080,2.86,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\075.mp4,original/075.mp4,0,REAL,original,original_075,613,1280,720,2.87,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\076.mp4,original/076.mp4,0,REAL,original,original_076,329,1280,720,1.25,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\078.mp4,original/078.mp4,0,REAL,original,original_078,523,1280,720,1.99,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\081.mp4,original/081.mp4,0,REAL,original,original_081,1170,600,480,2.2,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\082.mp4,original/082.mp4,0,REAL,original,original_082,316,640,480,0.62,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\085.mp4,original/085.mp4,0,REAL,original,original_085,329,640,480,1.78,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\086.mp4,original/086.mp4,0,REAL,original,original_086,935,1280,720,2.55,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\089.mp4,original/089.mp4,0,REAL,original,original_089,751,1280,720,3.04,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\091.mp4,original/091.mp4,0,REAL,original,original_091,639,658,480,1.55,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\092.mp4,original/092.mp4,0,REAL,original,original_092,460,720,480,0.96,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\094.mp4,original/094.mp4,0,REAL,original,original_094,559,1280,720,2.38,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\095.mp4,original/095.mp4,0,REAL,original,original_095,1006,640,480,2.08,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\096.mp4,original/096.mp4,0,REAL,original,original_096,504,1920,1080,5.07,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\097.mp4,original/097.mp4,0,REAL,original,original_097,478,640,480,0.99,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\098.mp4,original/098.mp4,0,REAL,original,original_098,299,656,480,0.4,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\099.mp4,original/099.mp4,0,REAL,original,original_099,613,1920,1080,10.0,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\100.mp4,original/100.mp4,0,REAL,original,original_100,423,640,480,0.88,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\102.mp4,original/102.mp4,0,REAL,original,original_102,389,720,480,0.96,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\103.mp4,original/103.mp4,0,REAL,original,original_103,595,656,480,1.7,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\105.mp4,original/105.mp4,0,REAL,original,original_105,300,640,480,1.07,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\106.mp4,original/106.mp4,0,REAL,original,original_106,356,854,480,0.46,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\107.mp4,original/107.mp4,0,REAL,original,original_107,556,640,480,1.08,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\108.mp4,original/108.mp4,0,REAL,original,original_108,300,1440,1080,3.66,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\109.mp4,original/109.mp4,0,REAL,original,original_109,298,640,480,0.99,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\110.mp4,original/110.mp4,0,REAL,original,original_110,565,960,720,1.18,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\111.mp4,original/111.mp4,0,REAL,original,original_111,433,640,480,0.92,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\112.mp4,original/112.mp4,0,REAL,original,original_112,418,1920,1080,5.35,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\113.mp4,original/113.mp4,0,REAL,original,original_113,841,1280,720,4.11,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\115.mp4,original/115.mp4,0,REAL,original,original_115,320,1280,720,1.29,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\116.mp4,original/116.mp4,0,REAL,original,original_116,327,640,480,0.65,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\117.mp4,original/117.mp4,0,REAL,original,original_117,548,1280,720,3.69,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\118.mp4,original/118.mp4,0,REAL,original,original_118,352,852,480,0.94,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\119.mp4,original/119.mp4,0,REAL,original,original_119,502,640,480,0.83,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\122.mp4,original/122.mp4,0,REAL,original,original_122,309,1264,720,1.49,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\123.mp4,original/123.mp4,0,REAL,original,original_123,514,640,480,1.16,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\124.mp4,original/124.mp4,0,REAL,original,original_124,318,600,480,0.68,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\125.mp4,original/125.mp4,0,REAL,original,original_125,500,1280,720,2.31,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\126.mp4,original/126.mp4,0,REAL,original,original_126,328,640,480,0.66,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\128.mp4,original/128.mp4,0,REAL,original,original_128,735,640,480,1.25,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\129.mp4,original/129.mp4,0,REAL,original,original_129,330,1280,720,1.63,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\130.mp4,original/130.mp4,0,REAL,original,original_130,662,656,480,2.17,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\133.mp4,original/133.mp4,0,REAL,original,original_133,767,720,480,1.09,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\134.mp4,original/134.mp4,0,REAL,original,original_134,346,1280,720,1.98,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\135.mp4,original/135.mp4,0,REAL,original,original_135,327,1280,720,1.21,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\136.mp4,original/136.mp4,0,REAL,original,original_136,611,1280,720,3.55,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\139.mp4,original/139.mp4,0,REAL,original,original_139,378,600,480,0.54,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\140.mp4,original/140.mp4,0,REAL,original,original_140,485,640,480,2.27,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\141.mp4,original/141.mp4,0,REAL,original,original_141,508,854,480,1.15,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\142.mp4,original/142.mp4,0,REAL,original,original_142,962,600,480,1.35,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\143.mp4,original/143.mp4,0,REAL,original,original_143,414,640,480,0.69,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\144.mp4,original/144.mp4,0,REAL,original,original_144,344,1280,720,1.03,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\145.mp4,original/145.mp4,0,REAL,original,original_145,475,600,480,0.57,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\146.mp4,original/146.mp4,0,REAL,original,original_146,1003,1280,720,6.28,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\147.mp4,original/147.mp4,0,REAL,original,original_147,667,600,480,1.31,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\148.mp4,original/148.mp4,0,REAL,original,original_148,475,640,480,0.74,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\149.mp4,original/149.mp4,0,REAL,original,original_149,363,854,480,0.88,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\150.mp4,original/150.mp4,0,REAL,original,original_150,456,854,480,0.56,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\151.mp4,original/151.mp4,0,REAL,original,original_151,347,1280,720,2.09,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\153.mp4,original/153.mp4,0,REAL,original,original_153,732,640,480,2.03,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\154.mp4,original/154.mp4,0,REAL,original,original_154,594,1280,720,2.63,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\155.mp4,original/155.mp4,0,REAL,original,original_155,829,854,480,1.98,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\158.mp4,original/158.mp4,0,REAL,original,original_158,444,640,480,0.75,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\159.mp4,original/159.mp4,0,REAL,original,original_159,325,600,480,0.91,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\160.mp4,original/160.mp4,0,REAL,original,original_160,534,1280,720,2.17,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\161.mp4,original/161.mp4,0,REAL,original,original_161,369,640,480,0.63,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\162.mp4,original/162.mp4,0,REAL,original,original_162,685,1280,720,2.81,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\163.mp4,original/163.mp4,0,REAL,original,original_163,304,1280,720,0.83,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\164.mp4,original/164.mp4,0,REAL,original,original_164,1021,854,480,2.62,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\166.mp4,original/166.mp4,0,REAL,original,original_166,756,640,480,1.2,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\169.mp4,original/169.mp4,0,REAL,original,original_169,649,640,480,0.87,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\170.mp4,original/170.mp4,0,REAL,original,original_170,504,1920,1080,4.02,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\172.mp4,original/172.mp4,0,REAL,original,original_172,752,640,480,1.15,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\173.mp4,original/173.mp4,0,REAL,original,original_173,721,1280,720,3.6,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\174.mp4,original/174.mp4,0,REAL,original,original_174,414,1280,720,0.7,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\175.mp4,original/175.mp4,0,REAL,original,original_175,504,640,480,1.1,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\176.mp4,original/176.mp4,0,REAL,original,original_176,376,1920,1080,4.33,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\178.mp4,original/178.mp4,0,REAL,original,original_178,521,640,480,0.52,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\179.mp4,original/179.mp4,0,REAL,original,original_179,1260,640,480,1.87,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\182.mp4,original/182.mp4,0,REAL,original,original_182,620,1280,720,2.15,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\183.mp4,original/183.mp4,0,REAL,original,original_183,390,1280,720,1.35,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\184.mp4,original/184.mp4,0,REAL,original,original_184,1254,1280,720,1.84,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\185.mp4,original/185.mp4,0,REAL,original,original_185,875,854,480,2.24,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\186.mp4,original/186.mp4,0,REAL,original,original_186,334,1920,1080,5.12,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\187.mp4,original/187.mp4,0,REAL,original,original_187,986,1280,720,5.58,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\188.mp4,original/188.mp4,0,REAL,original,original_188,310,1280,720,1.32,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\189.mp4,original/189.mp4,0,REAL,original,original_189,512,640,480,1.6,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\190.mp4,original/190.mp4,0,REAL,original,original_190,331,1920,1080,2.46,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\191.mp4,original/191.mp4,0,REAL,original,original_191,372,1920,1080,3.88,train
D:\Programming\Major Project\A-Multimodal-Approach-for-Deepfake-Detection-\FaceForensic Dataset\FaceForensics++_C23\original\192.mp4,original/192.mp4,0,REAL,original,original_192,287,1280,720,0.9,train
